Algoritma,Hesaplama_Suresi_ms,Ziyaret_Edilen_Dugum,Yol_Uzunlugu_m
Dijkstra,13.1397,1173,3.8657
Dijkstra,13.0669,1050,3.7657
Dijkstra,11.8708,928,3.6657
Dijkstra,10.7587,844,3.5657
Dijkstra,8.9043,776,3.4657
Dijkstra,8.6189,716,3.3657
Dijkstra,7.8870,666,3.2657
Dijkstra,7.9253,596,3.0657
Dijkstra,6.9995,554,2.9243
Dijkstra,6.3772,522,2.8243
Dijkstra,5.5619,486,2.7243
Dijkstra,6.1162,449,2.6243
Dijkstra,5.9586,417,2.5243
Dijkstra,5.1613,403,2.4657
Dijkstra,5.3225,383,2.3657
Dijkstra,3.8603,367,2.2657
Dijkstra,3.7393,335,2.0657
Dijkstra,3.6529,308,1.9243
Dijkstra,3.1390,292,1.8243
Dijkstra,4.1765,276,1.7243
Dijkstra,3.2590,262,1.6243
Dijkstra,3.4957,248,1.5243
Dijkstra,3.0926,240,1.4657
Dijkstra,2.7299,212,1.3243
Dijkstra,2.4395,194,1.2243
Dijkstra,2.3768,165,1.0828
Dijkstra,2.0972,147,0.9828
Dijkstra,1.9246,129,0.8828
Dijkstra,1.4835,114,0.7828
Dijkstra,1.4330,109,0.7243
Dijkstra,1.1514,88,0.5828
Dijkstra,1.0584,76,0.4828
D* Lite,22.2004,1753,10.8995
D* Lite,96.7945,8304,12.1581
D* Lite,96.5260,8234,12.1581
D* Lite,97.1283,8552,12.3167
D* Lite,94.0555,7912,12.2167
D* Lite,76.9136,6860,11.9581
D* Lite,73.4015,6325,11.9167
D* Lite,64.7997,5626,11.7752
D* Lite,65.9527,5654,11.7338
D* Lite,66.2697,5816,11.8267
D* Lite,79.4622,6978,12.1368
D* Lite,91.9197,7743,12.3882
D* Lite,93.2630,7879,12.5397
D* Lite,92.1493,7722,12.4397
D* Lite,88.3028,7565,12.3397
D* Lite,89.3416,7397,12.2397
D* Lite,84.3839,7174,12.0983
D* Lite,82.6899,7166,12.0983
D* Lite,75.3061,6331,11.7811
D* Lite,72.5867,6331,11.7811
D* Lite,72.1848,6370,11.6983
D* Lite,72.4899,6259,11.5983
D* Lite,70.8150,6148,11.4983
D* Lite,72.4594,6032,11.3983
D* Lite,76.8248,5972,11.2569
D* Lite,71.7197,5862,11.1569
D* Lite,70.1213,5779,11.0154
D* Lite,67.0750,5663,10.9154
D* Lite,69.8207,5558,10.8154
D* Lite,64.5491,5480,10.6740
D* Lite,59.8256,5135,10.5740
D* Lite,58.3242,5009,10.4740
D* Lite,58.5104,4939,10.3326
D* Lite,56.1909,4827,10.2326
D* Lite,54.0723,4714,10.1326
D* Lite,55.1820,4648,9.9912
D* Lite,53.1943,4539,9.8912
D* Lite,50.6353,4423,9.7912
D* Lite,50.8190,4363,9.6497
D* Lite,50.4563,4248,9.5497
D* Lite,48.0465,4140,9.4497
D* Lite,47.3204,3962,9.2083
D* Lite,46.5167,3856,9.1083
D* Lite,44.9903,3740,9.0083
D* Lite,47.7702,3688,8.8669
D* Lite,45.3978,3579,8.7669
D* Lite,42.9097,3528,8.6255
D* Lite,38.4258,3413,8.5255
D* Lite,39.9650,3302,8.4255
D* Lite,36.7602,3252,8.2841
D* Lite,36.1244,3141,8.1841
D* Lite,37.5035,3037,8.0841
D* Lite,32.9738,2924,7.9841
D* Lite,31.2510,2506,7.9598
D* Lite,30.9964,2458,8.0355
D* Lite,28.0273,2314,7.9941
D* Lite,26.7589,2156,8.0113
D* Lite,25.6817,2028,8.0456
D* Lite,23.3689,1867,8.0042
D* Lite,20.5698,1686,8.0213
D* Lite,20.1758,1520,8.0556
D* Lite,21.4286,1649,8.2971
D* Lite,21.6286,1745,8.4799
D* Lite,25.8797,2080,8.9042
D* Lite,26.8166,2234,9.0870
D* Lite,32.9241,2567,9.5527
D* Lite,35.2083,2881,9.7770
D* Lite,34.9239,2954,9.9012
D* Lite,44.5341,3439,10.2598
D* Lite,46.7443,3946,10.5598
D* Lite,47.3116,3858,10.4184
D* Lite,47.6779,3896,10.3770
D* Lite,46.7062,3795,10.2355
D* Lite,46.5532,3688,10.0355
D* Lite,43.6204,3631,9.9355
D* Lite,47.7282,3576,9.8355
D* Lite,44.5500,3516,9.7355
D* Lite,42.7279,3447,9.6355
D* Lite,41.7244,3379,9.5355
D* Lite,31.2409,2569,9.0184
D* Lite,31.1499,2569,9.0184
D* Lite,32.0232,2569,9.0184
D* Lite,29.3952,2336,8.7770
D* Lite,29.2533,2261,8.6355
D* Lite,27.3756,2152,8.5355
D* Lite,28.5194,2178,8.4941
D* Lite,25.2038,2113,8.3527
D* Lite,24.0096,2011,8.2527
D* Lite,23.5930,1943,8.1113
D* Lite,22.1423,1872,7.9698
D* Lite,21.7728,1822,7.9284
D* Lite,21.3070,1805,7.8284
D* Lite,23.7629,1735,7.6870
D* Lite,20.9171,1691,7.6456
D* Lite,20.3212,1621,7.5042
D* Lite,19.0185,1602,7.4042
D* Lite,18.9921,1532,7.2627
D* Lite,21.0347,1482,7.2213
D* Lite,17.0621,1408,7.0799
D* Lite,18.3328,1384,6.9799
D* Lite,17.8403,1347,6.9556
D* Lite,17.4990,1291,6.9142
D* Lite,15.8296,1212,6.7728
D* Lite,15.6260,1172,6.6728
D* Lite,15.0376,1115,6.6314
D* Lite,13.4175,1019,6.4899
D* Lite,13.5063,990,6.4485
D* Lite,13.0922,899,6.3071
D* Lite,10.3851,861,6.2071
D* Lite,9.4005,758,6.0657
D* Lite,8.4762,685,5.8657
D* Lite,7.4149,596,5.7657
D* Lite,6.9348,560,5.6657
D* Lite,8.5619,543,5.5657
D* Lite,7.7107,528,5.4657
D* Lite,5.0267,445,5.3657
D* Lite,5.2446,405,5.3071
D* Lite,3.3756,284,4.9899
D* Lite,3.7522,279,4.9485
D* Lite,3.8744,272,4.8485
D* Lite,3.8984,264,4.7071
D* Lite,3.2033,258,4.6071
D* Lite,3.4100,250,4.4657
D* Lite,3.7759,244,4.3657
D* Lite,3.6157,238,4.2657
D* Lite,3.0161,163,4.1243
D* Lite,2.4633,157,4.0243
D* Lite,2.7408,151,3.9243
D* Lite,1.5108,98,3.7828
D* Lite,1.7205,95,3.6828
D* Lite,1.5796,92,3.5828
D* Lite,1.2075,35,3.4414
D* Lite,0.8264,34,3.3414
D* Lite,0.6838,32,3.1414
D* Lite,0.5474,31,3.0414
D* Lite,0.5541,30,2.9414
D* Lite,0.4663,29,2.8414
D* Lite,0.4549,28,2.7414
D* Lite,0.4637,27,2.6414
D* Lite,0.5223,25,2.4000
D* Lite,0.4700,24,2.3000
D* Lite,0.5300,23,2.2000
D* Lite,0.5334,22,2.1000
D* Lite,0.4214,21,2.0000
D* Lite,0.4424,20,1.9000
D* Lite,0.3865,19,1.8414
D* Lite,0.3556,18,1.7000
D* Lite,0.7152,17,1.6000
D* Lite,0.3595,16,1.5000
D* Lite,0.3549,15,1.4414
D* Lite,0.3466,14,1.3000
D* Lite,0.2261,12,1.1000
D* Lite,0.2302,11,1.0000
